UVXY
date;open;high;low;close;volume;adjClose
04.10.2011;12135000;12240000;10290000;34,299999;0;10290000
05.10.2011;9873000;9945000;9069000;30,230001;0;9069000
06.10.2011;9057000;9390000;8700000;29;0;8700000
07.10.2011;8529000;9288000;8424000;29,420002;0;8826000
10.10.2011;8274000;8280000;7797000;25,99;0;7797000
11.10.2011;7851000;7863000;7455000;25,1;0;7530000
12.10.2011;6972000;6972000;6243000;21,460001;0;6438000
13.10.2011;6660000;7011000;6483000;21,610001;0;6483000
14.10.2011;5868000;6207000;5742000;19,480001;0;5844000
17.10.2011;5787000;6975000;5787000;23,25;0;6975000
18.10.2011;6924000;7386000;5955000;21,700001;0;6510000
19.10.2011;6300000;7416000;6180000;24,110001;0;7233000
20.10.2011;7326000;7839000;7140000;24,15;0;7245000
21.10.2011;6762000;7005000;6510000;21,700001;0;6510000
24.10.2011;6351000;6351000;5691000;19,060001;0;5718000
25.10.2011;5871000;6555000;5871000;21,550001;0;6465000
26.10.2011;5949000;6873000;5886000;19,840002;0;5952000
27.10.2011;4719000;4959000;4281000;14,55;0;4365000
28.10.2011;4524000;4593000;4233000;14,290001;0;4287000
31.10.2011;4692000;5199000;4617000;17,33;0;5199000
01.11.2011;6780000;7044000;6309000;22,410002;0;6723000
02.11.2011;6240000;6759000;6162000;21,030001;0;6309000
03.11.2011;5943000;6708000;5661000;19,050001;0;5715000
04.11.2011;6006000;6357000;5763000;19,77;0;5931000
07.11.2011;5997000;6300000;5820000;19,410002;0;5823000
08.11.2011;5664000;5982000;5250000;17,58;0;5274000
09.11.2011;6063000;7305000;5985000;24,090002;0;7227000
10.11.2011;6375000;7125000;6270000;21,040001;0;6312000
11.11.2011;5844000;5853000;5640000;19,290001;0;5787000
14.11.2011;5958000;6294000;5934000;20,210001;0;6063000
15.11.2011;6282000;6396000;5847000;19,82;0;5946000
16.11.2011;6318000;6603000;5880000;21,740002;0;6522000
17.11.2011;6621000;7395000;6504000;23,810001;0;7143000
18.11.2011;6735000;7134000;6654000;22,18;0;6654000
21.11.2011;7362000;7383000;6738000;22,730001;0;6819000
22.11.2011;6891000;7026000;6498000;21,780001;0;6534000
23.11.2011;6846000;7152000;6753000;23,740002;0;7122000
25.11.2011;7170000;7356000;6894000;24,35;0;7305000
28.11.2011;6333000;6750000;6222000;22,030001;0;6609000
29.11.2011;6483000;6612000;6201000;21,1;0;6330000
30.11.2011;5478000;5571000;5181000;17,360001;0;5208000
01.12.2011;5250000;5274000;4902000;16,57;0;4971000
02.12.2011;4683000;4965000;4521000;16,469999;0;4941000
05.12.2011;4536000;5031000;4524000;16,42;0;4926000
06.12.2011;4926000;4989000;4755000;16,27;0;4881000
07.12.2011;5025000;5415000;5022000;17,300001;0;5190000
08.12.2011;5478000;5748000;5400000;18,9;0;5670000
09.12.2011;5514000;5526000;4863000;16,280001;0;4884000
12.12.2011;5061000;5250000;4896000;16,32;0;4896000
13.12.2011;4701000;5049000;4494000;16,190001;0;4857000
14.12.2011;4842000;5082000;4719000;16,25;0;4875000
15.12.2011;4536000;4635000;4395000;15,040001;0;4512000
16.12.2011;4215000;4572000;4215000;14,87;0;4461000
19.12.2011;4365000;4440000;4185000;14,540001;0;4362000
20.12.2011;3981000;3981000;3825000;12,76;0;3828000
21.12.2011;3753000;3864000;3312000;11,080001;0;3324000
22.12.2011;3177000;3390000;3051000;11,070001;0;3321000
23.12.2011;3228000;3546000;3219000;11,6;0;3480000
27.12.2011;3450000;3474000;3348000;11,47;0;3441000
28.12.2011;3399000;3735000;3399000;12,38;0;3714000
29.12.2011;3666000;3672000;3525000;11,79;0;3537000
30.12.2011;3537000;3651000;3510000;12,16;0;3648000
03.01.2012;3312000;3351000;3225000;10,88;0;3264000
04.01.2012;3357000;3411000;3129000;10,46;0;3138000
05.01.2012;3222000;3285000;2985000;9,98;0;2994000
06.01.2012;2943000;3060000;2838000;9,66;0;2898000
09.01.2012;2844000;2892000;2781000;9,370001;0;2811000
10.01.2012;2640000;2724000;2589000;8,98;0;2694000
11.01.2012;2739000;2796000;2724000;9,240001;0;2772000
12.01.2012;2751000;2952000;2694000;9;0;2700000
13.01.2012;2832000;3006000;2820000;9,48;0;2844000
17.01.2012;2661000;2832000;2574000;9,34;0;2802000
18.01.2012;2766000;2829000;2592000;8,68;0;2604000
19.01.2012;2529000;2583000;2448000;8,190001;0;2457000
20.01.2012;2481000;2502000;2298000;7,71;0;2313000
23.01.2012;2301000;2328000;2160000;7,3;0;2190000
24.01.2012;2298000;2316000;2184000;7,35;0;2205000
25.01.2012;2205000;2262000;2007000;6,74;0;2022000
26.01.2012;1935000;2082000;1923000;6,74;0;2022000
27.01.2012;2079000;2091000;1917000;6,46;0;1938000
30.01.2012;2079000;2106000;1998000;6,84;0;2052000
31.01.2012;1959000;2091000;1944000;6,83;0;2049000
01.02.2012;1965000;1995000;1884000;6,470001;0;1941000
02.02.2012;1869000;1890000;1821000;6,08;0;1824000
03.02.2012;1671000;1704000;1632000;5,44;0;1632000
06.02.2012;1656000;1665000;1590000;5,31;0;1593000
07.02.2012;1602000;1662000;1587000;5,39;0;1617000
08.02.2012;1617000;1713000;1602000;5,64;0;1692000
09.02.2012;1710000;1863000;1683000;6,2;0;1860000
10.02.2012;2058000;2406000;2019000;7,26;0;2178000
13.02.2012;1944000;2001000;1845000;6,16;0;1848000
14.02.2012;1905000;2187000;1899000;6,53;0;1959000
15.02.2012;1992000;2211000;1989000;7,27;0;2181000
16.02.2012;2274000;2355000;1989000;6,68;0;2004000
17.02.2012;1938000;2046000;1902000;6,6;0;1980000
21.02.2012;1905000;2004000;1890000;6,48;0;1944000
22.02.2012;1971000;1986000;1830000;6,13;0;1839000
23.02.2012;1842000;1875000;1581000;5,36;0;1608000
24.02.2012;1563000;1734000;1539000;5,73;0;1719000
27.02.2012;1836000;1851000;1641000;5,82;0;1746000
28.02.2012;1785000;1797000;1695000;5,69;0;1707000
29.02.2012;1650000;1728000;1587000;5,49;0;1647000
01.03.2012;1629000;1644000;1563000;5,29;0;1587000
02.03.2012;1581000;1635000;1554000;5,37;0;1611000
05.03.2012;1626000;1662000;1581000;5,32;0;1596000
06.03.2012;1797000;1869000;1731000;6,13;0;1839000
07.03.2012;1791000;1815000;1653000;5,54;0;1662000
08.03.2012;1569500;1584500;1505000;30,51;0;1525500
09.03.2012;1481000;1487000;1402500;29,289999;0;1464500
12.03.2012;1424000;1430000;1319500;26,59;0;1329500
13.03.2012;1252500;1271500;1187000;24,17;0;1208500
14.03.2012;1189000;1348000;1184500;25,690001;0;1284500
15.03.2012;1315000;1333500;1243000;24,860001;0;1243000
16.03.2012;1230000;1271500;1219500;24,77;0;1238500
19.03.2012;1225000;1232500;1072500;21,85;100;1092500
20.03.2012;1136500;1154500;986000;19,740002;100;987000
21.03.2012;945500;975000;867000;17,800001;100;890000
22.03.2012;962500;997000;889000;18,17;100;908500
23.03.2012;898000;928000;777000;15,660001;100;783000
26.03.2012;721500;725000;630000;12,75;0;637500
27.03.2012;657000;767000;652000;15,280001;0;764000
28.03.2012;761000;910000;737500;15,460001;100;773000
29.03.2012;869500;869500;751000;15,38;100;769000
30.03.2012;704000;764000;700000;14,56;0;728000
02.04.2012;734500;742000;675000;14,52;0;726000
03.04.2012;719000;793500;707000;15,02;100;751000
04.04.2012;825500;862000;770000;15,7;100;785000
05.04.2012;823000;832000;777500;16,360001;100;818000
09.04.2012;918500;925000;854500;18,440001;100;922000
10.04.2012;930500;1075000;905500;21,42;100;1071000
11.04.2012;964500;1033000;941500;20,4;0;1020000
12.04.2012;993000;1005000;838500;16,9;100;845000
13.04.2012;833500;932000;832000;18,590002;100;929500
16.04.2012;862000;960500;843000;17,9;100;895000
17.04.2012;834000;841000;776000;15,98;100;799000
18.04.2012;816000;840500;779000;16,370001;100;818500
19.04.2012;816000;882500;780000;16,68;200;834000
20.04.2012;799000;802000;764000;15,63;100;781500
23.04.2012;856000;890000;821500;16,6;200;830000
24.04.2012;823500;833500;790500;15,81;100;790500
25.04.2012;728000;734500;693000;13,92;100;696000
26.04.2012;698000;704000;634000;12,93;100;646500
27.04.2012;640000;669000;631000;12,840001;100;642000
30.04.2012;659000;678500;650000;13,440001;100;672000
01.05.2012;666500;671000;612500;12,570001;100;628500
02.05.2012;657500;670000;627500;12,780001;100;639000
03.05.2012;631000;683500;621000;13,330001;100;666500
04.05.2012;680000;747000;677500;14,57;200;728500
07.05.2012;761500;766000;686500;14,07;100;703500
08.05.2012;731000;806000;708500;14,340001;300;717000
09.05.2012;786500;816500;725500;15,45;300;772500
10.05.2012;725500;745500;703000;14,42;100;721000
11.05.2012;758000;760000;695500;14,830001;200;741500
14.05.2012;806000;831000;784000;16,560001;200;828000
15.05.2012;831500;916500;799500;18,190001;200;909500
16.05.2012;880500;980500;852000;19,42;200;971000
17.05.2012;959500;1066000;935000;21,32;300;1066000
18.05.2012;1046500;1243500;1034000;24,08;300;1204000
21.05.2012;1186000;1221500;925500;18,560001;200;928000
22.05.2012;902000;1055000;825000;19,860001;200;993000
23.05.2012;1048000;1109500;940500;19,210001;300;960500
24.05.2012;947000;1050500;935500;19,5;200;975000
25.05.2012;972500;986500;945000;19,1;200;955000
29.05.2012;899000;934500;858500;17,25;200;862500
30.05.2012;907000;978500;907000;19,57;100;978500
31.05.2012;990000;1094500;933500;20,02;300;1001000
01.06.2012;1152500;1181000;1094000;23,469999;300;1173500
04.06.2012;1125000;1204500;1073000;21,6;200;1080000
05.06.2012;1101000;1104000;1013500;20,620001;100;1031000
