date;open;close;adjClose;high;low;volume
04.10.2011;12135000;34.299999;10290000;12240000;10290000;0
05.10.2011;9873000;30.230001;9069000;9945000;9069000;0
06.10.2011;9057000;29;8700000;9390000;8700000;0
07.10.2011;8529000;29.420002;8826000;9288000;8424000;0
10.10.2011;8274000;25.99;7797000;8280000;7797000;0
11.10.2011;7851000;25.1;7530000;7863000;7455000;0
12.10.2011;6972000;21.460001;6438000;6972000;6243000;0
13.10.2011;6660000;21.610001;6483000;7011000;6483000;0
14.10.2011;5868000;19.480001;5844000;6207000;5742000;0
17.10.2011;5787000;23.25;6975000;6975000;5787000;0
18.10.2011;6924000;21.700001;6510000;7386000;5955000;0
19.10.2011;6300000;24.110001;7233000;7416000;6180000;0
20.10.2011;7326000;24.15;7245000;7839000;7140000;0
21.10.2011;6762000;21.700001;6510000;7005000;6510000;0
24.10.2011;6351000;19.060001;5718000;6351000;5691000;0
25.10.2011;5871000;21.550001;6465000;6555000;5871000;0
26.10.2011;5949000;19.840002;5952000;6873000;5886000;0
27.10.2011;4719000;14.55;4365000;4959000;4281000;0
28.10.2011;4524000;14.290001;4287000;4593000;4233000;0
31.10.2011;4692000;17.33;5199000;5199000;4617000;0
01.11.2011;6780000;22.410002;6723000;7044000;6309000;0
02.11.2011;6240000;21.030001;6309000;6759000;6162000;0
03.11.2011;5943000;19.050001;5715000;6708000;5661000;0
04.11.2011;6006000;19.77;5931000;6357000;5763000;0
07.11.2011;5997000;19.410002;5823000;6300000;5820000;0
08.11.2011;5664000;17.58;5274000;5982000;5250000;0
09.11.2011;6063000;24.090002;7227000;7305000;5985000;0
10.11.2011;6375000;21.040001;6312000;7125000;6270000;0
11.11.2011;5844000;19.290001;5787000;5853000;5640000;0
14.11.2011;5958000;20.210001;6063000;6294000;5934000;0
15.11.2011;6282000;19.82;5946000;6396000;5847000;0
16.11.2011;6318000;21.740002;6522000;6603000;5880000;0
17.11.2011;6621000;23.810001;7143000;7395000;6504000;0
18.11.2011;6735000;22.18;6654000;7134000;6654000;0
21.11.2011;7362000;22.730001;6819000;7383000;6738000;0
22.11.2011;6891000;21.780001;6534000;7026000;6498000;0
